protein_name1,protein_name2
Q9BXM7,Q6P2Q9
Q6P2Q9,Q9BXM7
Q84M92,Q8L4Y5
Q8L4Y5,Q84M92
Q07872,P48415
P48415,Q07872
O13765,O74860
O74860,O13765
P53131,Q12159
Q12159,P53131
Q9H8W4,P15622
P15622,Q9H8W4
Q9Y2Q5,P08559
P08559,Q9Y2Q5
O74965,Q9C105
Q9C105,O74965
P60228,O00308
O00308,P60228
Q12873,O95613
O95613,Q12873
O43933,Q13608
Q13608,O43933
P22681,P27986
P27986,P22681
P22214,P46995
P46995,P22214
P21954,P40150
P40150,P21954
P06400,P51532
P51532,P06400
P06778,P26754
P26754,P06778
P69212,P02918
P02918,P69212
P19658,P89102
P89102,P19658
P35206,P18408
P18408,P35206
Q9BPX5,P46940
P46940,Q9BPX5
P13569,P31350
P31350,P13569
Q86VW1,Q99808
Q99808,Q86VW1
P31749,P17302
P17302,P31749
P39960,P27637
P27637,P39960
P0A6R3,P0AA47
P0AA47,P0A6R3
Q96EZ8,P61513
P61513,Q96EZ8
P35613,Q96JB2
Q96JB2,P35613
Q99459,Q9NPG3
Q9NPG3,Q99459
P17119,P23638
P23638,P17119
P0AEJ0,Q46821
Q46821,P0AEJ0
P43614,Q07807
Q07807,P43614
P20594,Q16790
Q16790,P20594
Q6VN20,Q9H871
Q9H871,Q6VN20
Q9UNF0,P54274
P54274,Q9UNF0
Q7Z6K5,P14373
P14373,Q7Z6K5
O14124,O74454
O74454,O14124
Q04609,P23396
P23396,Q04609
P32893,Q07468
Q07468,P32893
A2RU67,Q96R06
Q96R06,A2RU67
Q96R06,O60293
O60293,Q96R06
Q92851,P14681
P14681,Q92851
Q24117,Q24117
Q03687,Q99190
Q99190,Q03687
P77304,P09394
P09394,P77304
Q26365,Q94527
Q94527,Q26365
Q08387,P04806
P04806,Q08387
Q5TC82,Q96A35
Q96A35,Q5TC82
Q9H2M9,Q9P0L0
Q9P0L0,Q9H2M9
Q9ULV0,Q9H4M7
Q9H4M7,Q9ULV0
Q10407,Q9UTR1
Q9UTR1,Q10407
P14284,P06777
P06777,P14284
P47017,Q03782
Q03782,P47017
O43663,Q15397
Q15397,O43663
Q9BZD4,B7ZAP0
B7ZAP0,Q9BZD4
P19012,P00540
P00540,P19012
P07143,P38687
P38687,P07143
P18496,P47107
P47107,P18496
P31384,P39016
P39016,P31384
O15078,Q9UPN4
Q9UPN4,O15078
Q9Y3C0,Q12768
Q12768,Q9Y3C0
P38132,P08465
P08465,P38132
Q96N67,Q9H8S9
Q9H8S9,Q96N67
O01868,O01504
O01504,O01868
P56959,P49750
P49750,P56959
Q02786,P18759
P18759,Q02786
P21242,P21242
P36064,P50947
P50947,P36064
O75581,P21741
P21741,O75581
P36224,P40005
P40005,P36224
P25588,P06778
P06778,P25588
P28028,Q8BUR4
Q8BUR4,P28028
P32828,Q12306
Q12306,P32828
P38770,Q06142
Q06142,P38770
P00934,P0A8G3
P0A8G3,P00934
P04912,P32558
P32558,P04912
P0A6N4,P22523
P22523,P0A6N4
P04821,P38170
P38170,P04821
P0ACJ8,P31435
P31435,P0ACJ8
P40968,P40968
P22007,P22434
P22434,P22007
P03372,Q9NVW2
Q9NVW2,P03372
P31373,P31382
P31382,P31373
Q09666,P18827
P18827,Q09666
P38264,P42946
P42946,P38264
P10591,P04840
P04840,P10591
P36046,P38637
P38637,P36046
Q14676,P11177
P11177,Q14676
Q9UKA2,P15309
P15309,Q9UKA2
Q6IA86,Q9H9T3
Q9H9T3,Q6IA86
Q9H2K0,O75306
O75306,Q9H2K0
Q00582,P53290
P53290,Q00582
P35177,Q06385
Q06385,P35177
Q86Y82,Q8TC07
Q8TC07,Q86Y82
P38701,P29478
P29478,P38701
P75796,P36677
P36677,P75796
P47170,P42934
P42934,P47170
Q06106,Q03691
Q03691,Q06106
P47134,P40580
P40580,P47134
Q12080,P40574
P40574,Q12080
P21860,Q02297
Q02297,P21860
Q07457,P21951
P21951,Q07457
P09234,O00308
O00308,P09234
Q9ULL5,Q93009
Q93009,Q9ULL5
Q24306,Q24475
Q24475,Q24306
Q08180,Q08180
P30283,P40499
P40499,P30283
P36046,Q12306
Q12306,P36046
Q9P380,Q92368
Q92368,Q9P380
Q06707,Q05471
Q05471,Q06707
P32468,P47079
P47079,P32468
P0AAB2,P0A8Z3
P0A8Z3,P0AAB2
P25685,P62495
P62495,P25685
Q9BZE4,Q12905
Q12905,Q9BZE4
P09394,P27434
P27434,P09394
Q13137,P25786
P25786,Q13137
P14900,P65290
P65290,P14900
P40993,P36116
P36116,P40993
P19807,P33302
P33302,P19807
Q04632,P38757
P38757,Q04632
P32629,P14681
P14681,P32629
P10121,P0A9E2
P0A9E2,P10121
P08050,P07632
P07632,P08050
Q00839,Q15424
Q15424,Q00839
P25445,Q15654
Q15654,P25445
P38696,Q07887
Q07887,P38696
Q02775,Q12049
Q12049,Q02775
Q42384,Q9ZVD0
Q9ZVD0,Q42384
Q01159,P47037
P47037,Q01159
Q9UMS4,P0DTC5
P0DTC5,Q9UMS4
P58753,O60603
O60603,P58753
P53088,P17536
P17536,P53088
P54783,P38953
P38953,P54783
O43085,Q09744
Q09744,O43085
P0DTC7,Q14914
Q14914,P0DTC7
P42124,Q8ST83
Q8ST83,P42124
P04911,P35208
P35208,P04911
P25206,Q9Y224
Q9Y224,P25206
O43734,P0DTD1
P0DTD1,O43734
Q6IEG0,Q9UDW3
Q9UDW3,Q6IEG0
P23293,P06243
P06243,P23293
P39734,P47025
P47025,P39734
P36037,Q12306
Q12306,P36037
O95831,Q9BZL6
Q9BZL6,O95831
P49841,P28482
P28482,P49841
P38333,P22696
P22696,P38333
Q08965,P34110
P34110,Q08965
P11021,P31327
P31327,P11021
P77624,P0A6Z3
P0A6Z3,P77624
Q10589,Q9HC29
Q9HC29,Q10589
Q01105,P12956
P12956,Q01105
P31224,P27828
P27828,P31224
Q9H4M7,Q6NUQ4
Q6NUQ4,Q9H4M7
P48361,Q02159
Q02159,P48361
A2RU67,Q9H1E5
Q9H1E5,A2RU67
P43601,P20604
P20604,P43601
P97447,Q9DC28
Q9DC28,P97447
P39521,P39520
P39520,P39521
Q9CZX2,Q68FH0
Q68FH0,Q9CZX2
P04629,Q9BWH6
Q9BWH6,P04629
P0AEF8,P0C054
P0C054,P0AEF8
Q05513,Q13501
Q13501,Q05513
P23542,P07866
P07866,P23542
P08133,P17252
P17252,P08133
P38817,P54837
P54837,P38817
P29478,P43546
P43546,P29478
P11710,P31374
P31374,P11710
P32353,Q12334
Q12334,P32353
P08566,P28777
P28777,P08566
P53937,Q05016
