drugid1,drugid2
DB15685,DB00091
DB00091,DB00813
DB00813,DB00091
DB00091,DB01256
DB01256,DB00091
DB00091,DB00862
DB00862,DB00091
DB00346,DB00091
DB00091,DB00346
DB00091,DB14126
DB14126,DB00091
DB00091,DB00682
DB00682,DB00091
DB00091,DB01015
DB01015,DB00091
DB00091,DB00997
DB00997,DB00091
DB00091,DB09272
DB09272,DB00091
DB00636,DB00091
DB00091,DB00636
DB00091,DB01039
DB01039,DB00091
DB00091,DB01241
DB01241,DB00091
DB00091,DB13873
DB13873,DB00091
DB00091,DB00864
DB00864,DB00091
DB00091,DB06791
DB06791,DB00091
DB00091,DB00177
DB00177,DB00091
DB00091,DB00275
DB00275,DB00091
DB00091,DB00678
DB00678,DB00091
DB00796,DB00091
DB00091,DB00796
DB00091,DB00876
DB00876,DB00091
DB00091,DB00966
DB00966,DB00091
DB08822,DB00091
DB00091,DB08822
DB13919,DB00091
DB00091,DB13919
DB00091,DB00199
DB00199,DB00091
DB00207,DB00091
DB00091,DB00207
DB00091,DB00976
DB00976,DB00091
DB01211,DB00091
DB00091,DB01211
DB00091,DB13179
DB13179,DB00091
DB01190,DB00091
DB00091,DB01190
DB00241,DB00091
DB00091,DB00241
DB00091,DB00312
DB00312,DB00091
DB00091,DB00418
DB00418,DB00091
DB00091,DB00474
DB00474,DB00091
DB00091,DB00599
DB00599,DB00091
DB00091,DB00794
DB00794,DB00091
DB00091,DB01174
DB01174,DB00091
DB01351,DB00091
DB00091,DB01351
DB00237,DB00091
DB00091,DB00237
DB00091,DB00263
DB00263,DB00091
DB00310,DB00091
DB00091,DB00310
DB00091,DB00359
DB00359,DB00091
DB00436,DB00091
DB00091,DB00436
DB00562,DB00091
DB00091,DB00562
DB00091,DB00576
DB00576,DB00091
DB00091,DB00774
DB00774,DB00091
DB00091,DB00808
DB00808,DB00091
DB00880,DB00091
DB00091,DB00880
DB00091,DB00999
DB00999,DB00091
DB00091,DB01299
DB01299,DB00091
DB00091,DB01324
DB01324,DB00091
DB00091,DB00384
