drugid1,protein_name
D06FHE,P05093
DB11091,P18031
D05AOH,P18031
D03KJL,P18031
D0U2WU,P18031
D0G7HN,P18031
DB12606,P04293
DB06421,P14416
DB06421,P11229
D0O5WD,Q15661
D0N9WB,Q15661
D02INZ,Q15661
DB12693,Q00975
D05EPU,P13945
D0V9IE,P13945
DB04829,P28335
D08RNW,Q9NY46
D0B8GI,Q9NY46
D05XEF,Q9NY46
D0Q7GZ,Q9NY46
D04AXY,P46098
D04AXY,O95264
DB08839,P46098
DB08839,O95264
D03FEI,P45452
D09XUQ,P03956
D09XUQ,P45452
D01OCR,P03956
D01OCR,P45452
D00KSS,P45452
D0D7UA,P03956
D0D7UA,P45452
D0XE4B,P03956
D0XE4B,P45452
D0A7JH,P09917
D0K5IQ,P30536
D06QUQ,P12931
D02VIW,P03372
D02VIW,Q92731
D01WYI,P00533
D01WYI,P04626
D0F6FZ,P00533
DB07662,P04626
D0A9NE,P15121
D0YJ3Q,P15121
D04GYD,P15121
D0QP9D,P15121
D05HBF,P15121
D08MHU,P15121
D00WFB,P15121
D05SLZ,P15121
D0L7MI,P15121
DB13182,P15121
D01KKU,P15121
D0Y8DJ,P08913
D0Y8DJ,P18089
D0Y8DJ,P18825
D0TN2R,P08913
D0TN2R,P18089
D0TN2R,P18825
D0E7YK,O75899
DB00546,P30536
D0QS6O,P31323
D0QS6O,P10644
D0F3XS,P31323
D0F3XS,P10644
D08GIG,P31323
D08GIG,P10644
D0RC8H,P31323
D0RC8H,P10644
D0V3TE,P31323
D0V3TE,P10644
D0KZ2I,P31323
D0KZ2I,P10644
D07MMG,P31323
D07MMG,P10644
D07MMG,P68400
D02ZWX,P31323
D02ZWX,P10644
D0A5YR,P31323
D0A5YR,P10644
DB13502,P27338
D0P9YU,P15144
D0N3UO,P15144
D06RLF,P15144
D06VON,P15144
D04KOZ,P15144
D0Q0EY,P15144
D0GI9S,P15144
D0DS7F,P15144
D0R9AA,P15144
D05WZA,Q05586
D05WZA,Q13224
DB08855,Q9Y271
D0K2YG,P16234
D0K2YG,P09619
D03RLA,P11387
DB07556,P08253
DB07556,P14780
D0N0FX,P03956
D0N0FX,P45452
D0N0FX,P22894
D02PKO,P45452
D00KSS,P22894
D0K3RC,P03956
D0K3RC,P45452
D0K3RC,P22894
D0D7UA,P22894
D0K9OK,Q01959
D0O1QT,P00915
D0O1QT,P00918
DB00827,Q02880
D09BZV,Q05586
D09BZV,Q13224
D0Q8PE,Q05586
D0Q8PE,Q13224
D0J8PY,Q05586
D0J8PY,Q13224
